id;created_date_time;message_type;content;room;username
1;2023-04-06T08:30:52;SERVER;Cove;Global Savings International;International
2;2023-04-06T01:24:37;CLIENT;metrics moderator Fantastic;Dam compressing executive;Operations
3;2023-04-06T00:46:56;CLIENT;Direct Implementation Nakfa;Outdoors Brand Creative;indigo Virginia
4;2023-04-05T21:33:44;SERVER;transitional;Nebraska Ergonomic;superstructure Lebanon virtual
5;2023-04-05T21:43:52;CLIENT;Tools initiatives;Account Fish cross-media;Table
6;2023-04-06T03:16:34;CLIENT;Benin white;Peso;Generic brand
7;2023-04-06T08:07:33;CLIENT;Brand;Principe Litas;budgetary multi-state
8;2023-04-06T05:13:35;CLIENT;Minnesota;Peso Facilitator;white Sausages
9;2023-04-06T00:58:54;SERVER;Cheese AGP;Global Cambridgeshire;1080p
10;2023-04-05T21:51:37;CLIENT;integrated ivory Profit-focused;withdrawal;generating
